year,state,measure,topic,yes_pct,no_pct,outcome
2024,Legislature,Approved,Amendment C,Establish in the state constitution that every county shall elect a sheriff to serve for four-year t,Nov 5,Approved
2024,Virginia,Legislature,Approved,Virginia Property Tax Exemption for Veterans and Surviving Spouses Amendment,Amend language in the Virginia Constitution regarding property tax exemptions for veterans and survi,Approved
2024,Washington,Citizens,Approved,Initiative 2066,"Prohibit state and local governments from restricting access to natural gas , prohibit the state bui",Approved
2024,Citizens,Failed,Initiative 2109,Repeal the capital gains excise tax imposed on long-term capital assets by individuals with capital ,Nov 5,Failed
2024,Citizens,Failed,Initiative 2117,Prohibit any state agencies from implementing a cap and trade or cap and tax program and repeal the ,Nov 5,Failed
2024,Citizens,Failed,Initiative 2124,Allow employees and self-employed individuals to opt out of paying the payroll tax and receiving ben,Nov 5,Failed
2024,West Virginia,Legislature,Approved,Amendment 1,"Amend the West Virginia Constitution to prohibit people from participating in ""the practice of medic",Approved
2024,Wisconsin,Legislature,Approved,Citizenship Voting Requirement Amendment,Prohibit the state and local governments from allowing noncitizens to vote,Approved
2024,Wyoming,Legislature,Approved,Amendment A,Separates residential property into its own class for purposes of property tax assessment,Approved
2024,Louisiana,Legislature,Approved,Louisiana Amendment 1,"Increase the membership of the judiciary commission by five members, add malfeasance while in office",Approved
2024,Legislature,Approved,Louisiana Amendment 2,Prohibit the consideration of a conference committee report or senate amendments on an appropriation,Dec 7,Approved
2024,Legislature,Approved,Louisiana Amendment 3,"Allow the state legislature to extend its regular session by two-day increments, up to a maximum of ",Dec 7,Approved
2024,Legislature,Approved,Louisiana Amendment 4,"Authorize the state legislature to provide for property tax sales in state law, provide that tax pay",Dec 7,Approved
2024,Arizona,15th week,Citizens,Approved,Proposition 139,Approved
2024,Colorado,Any stage,Citizens,Approved,Amendment 79,Approved
2024,Florida,6th week,Citizens,On ballot,Amendment 4,
2024,Hawaii,Fetal viability,Legislature,Died in legislature,Right to Abortion,
2024,Iowa,6th week,Legislature,Died in legislature,No State Constitutional Right to Abortion,
2024,Maine,Fetal viability,Legislature,Died in legislature,Right to Personal Reproductive Autonomy,
2024,Maryland,Fetal viability,Legislature,Approved,Question 1,Approved
2024,Minnesota,All stages,Legislature,Died in legislature,Equal Under the Law,
2024,Missouri,Banned,Citizens,Approved,Amendment 3,Approved
2024,Montana,Fetal viability,Citizens,Approved,CI-128,Approved
2024,Nebraska,12th week,Citizens,Approved,Initiative 434,Approved
2024,Citizens,Failed,Initiative 439,Enshrines abortion until fetal viability,50.99%-49.01%,Failed
2024,Nevada,24th week,Citizens,"Approved,  must pass again in 2026 to be added.",Question 6,"Approved,  must pass again in 2026 to be added."
2024,New York,24th week and fetal viability,Legislature,Approved,Proposal 1,Approved
2024,Pennsylvania,24th week,Legislature,Not re-approved,No State Constitutional Right to Abortion,Not re-approved
2024,South Dakota,Banned,Citizens,Failed,Amendment G,Failed
2024,Wisconsin,22nd week,Legislature,Died in legislature,14-Week Abortion Ban,
2024,Arizona,Legislature,Approved,Proposition 313,Requires life imprisonment for people convicted of child sex trafficking.,Approved
2024,Legislature,Approved,Proposition 314,Makes it a state crime for noncitizens to unlawfully enter the state and allows police to arrest the,Nov 5,Approved
2024,California,Legislature,Failed,Proposition 6,"Removed the penal exception clause from California's State Constitution, and constitutionally banned",Failed
2024,Citizens,Approved,Proposition 36,Classifies certain drug offenses as felonies; increases penalties for certain drug crimes; increases,68.4%-31.6%,Approved
2024,Colorado,Legislature,Approved,Amendment I,Removes right to bail for first-degree murder when proof is evident.,Approved
2024,Citizens,Approved,Proposition 128,Requires offenders convicted of certain violent crimes to serve at least 85% of their sentence befor,Nov 5,Approved
2024,Citizens,Approved,Proposition 130,"Provides $350 million in additional funding to law enforcement to help recruit, train, and retain po",Nov 5,Approved
2024,Alaska,Citizens,On ballot,Ballot Measure 1,Increases the minimum wage to $15/hr (currently $11.73/hr) by July 2027; provides 40–56 hours of pai,
2024,Arizona,Legislature,Failed,Proposition 138,Permits employers to pay tipped employees up to 25% less than the minimum wage (currently $14.35/hr),Failed
2024,California,Citizens,Approved,Proposition 32,"Increases the minimum wage to $18/hr (currently $16/hr) by 2026, subject to annual increase based on",Approved
2024,Massachusetts,Citizens,On ballot,Question 5,Increases the minimum wage for tipped employees (currently $6.75/hr) to the state minimum wage of $1,
2024,Missouri,Citizens,Approved,Proposition A,Increases the minimum wage to $15/hr (currently $12.30/hr) by 2026; requires 1 hour of paid sick lea,Approved
2024,Nebraska,Citizens,Approved,Initiative 436,Requires between five and seven days of paid sick leave for employees depending on the size of the b,Approved
2024,California,Legislature,Approved,Proposition 3,"Repeals 2008's Proposition 8 , which outlawed same-sex marriage in the state.",Approved
2024,Colorado,Legislature,Approved,Amendment J,"Repeals 2006's Amendment 43 , which outlawed same-sex marriage in the state.",Approved
2024,Hawaii,Legislature,Approved,2802 HD1,Repeals the state legislature's authority to restrict same-sex marriage.,Approved
2024,Arkansas,Citizens,"On ballot, votes will not be counted",Issue 3,Adds a new subsection to the state constitution that would prohibit legislators from changing or rep,
2024,Florida,Citizens,Failed,Amendment 3,"Legalizes possession of up to 3 ounces of marijuana for adults aged 21 and over, allows Medical Mari",Failed
